method,curve,x,y,support_size
source_control_foundation (K=16),risk_coverage,0.7917225950782998,0.5727267468291102,16
source_control_foundation (K=16),risk_coverage,0.8333333333333334,0.5571805247963045,16
source_control_foundation (K=16),risk_coverage,0.8750559284116332,0.5431155480473921,16
source_control_foundation (K=16),risk_coverage,0.9166666666666666,0.5326619460710186,16
source_control_foundation (K=16),risk_coverage,0.9583892617449664,0.5263428830737483,16
source_control_foundation (K=16),risk_coverage,1.0,0.520441797809928,16
source_retrieval_2048_ebra (K=16),calibration,0.5,0.8653287964009932,16
source_retrieval_2048_ebra (K=16),calibration,0.8,0.9785355118355246,16
source_retrieval_2048_ebra (K=16),calibration,0.9,0.9831755200359453,16
source_retrieval_2048_ebra (K=16),calibration,0.95,0.98415770609319,16
source_retrieval_2048_ebra (K=16),risk_coverage,0.00011185682326621924,0.26805913303306067,16
source_retrieval_2048_ebra (K=16),risk_coverage,0.04172259507829978,0.27708913173944316,16
source_retrieval_2048_ebra (K=16),risk_coverage,0.08344519015659956,0.270639963355101,16
source_retrieval_2048_ebra (K=16),risk_coverage,0.1250559284116331,0.2680642960492678,16
source_retrieval_2048_ebra (K=16),risk_coverage,0.16677852348993288,0.26492460942611573,16
source_retrieval_2048_ebra (K=16),risk_coverage,0.20838926174496644,0.26939340635280246,16
source_retrieval_2048_ebra (K=16),risk_coverage,0.2501118568232662,0.27003315063842775,16
source_retrieval_2048_ebra (K=16),risk_coverage,0.2917225950782998,0.27325252546586387,16
source_retrieval_2048_ebra (K=16),risk_coverage,0.33344519015659957,0.27637896451600813,16
source_retrieval_2048_ebra (K=16),risk_coverage,0.3750559284116331,0.278189898571309,16
source_retrieval_2048_ebra (K=16),risk_coverage,0.4167785234899329,0.2786904531003787,16
source_retrieval_2048_ebra (K=16),risk_coverage,0.45838926174496647,0.27996488719429546,16
source_retrieval_2048_ebra (K=16),risk_coverage,0.5001118568232662,0.2824294649052389,16
source_retrieval_2048_ebra (K=16),risk_coverage,0.5417225950782998,0.28506469060903544,16
source_retrieval_2048_ebra (K=16),risk_coverage,0.5833333333333334,0.28643906376332295,16
source_retrieval_2048_ebra (K=16),risk_coverage,0.6250559284116332,0.2851363662858078,16
source_retrieval_2048_ebra (K=16),risk_coverage,0.6666666666666666,0.2855024436476977,16
source_retrieval_2048_ebra (K=16),risk_coverage,0.7083892617449664,0.28642548972582493,16
source_retrieval_2048_ebra (K=16),risk_coverage,0.75,0.28619440624928716,16
source_retrieval_2048_ebra (K=16),risk_coverage,0.7917225950782998,0.28662387135157313,16
source_retrieval_2048_ebra (K=16),risk_coverage,0.8333333333333334,0.287796555512843,16
source_retrieval_2048_ebra (K=16),risk_coverage,0.8750559284116332,0.287957596925333,16
source_retrieval_2048_ebra (K=16),risk_coverage,0.9166666666666666,0.288078460593078,16
source_retrieval_2048_ebra (K=16),risk_coverage,0.9583892617449664,0.2889479830273661,16
source_retrieval_2048_ebra (K=16),risk_coverage,1.0,0.29352501841812717,16
target_active_gds_specialist (K=16),calibration,0.5,0.7176278799154417,16
target_active_gds_specialist (K=16),calibration,0.8,0.9500064042799462,16
target_active_gds_specialist (K=16),calibration,0.9,0.9887243887846104,16
target_active_gds_specialist (K=16),calibration,0.95,0.9980826456614154,16
target_active_gds_specialist (K=16),risk_coverage,0.00011185682326621924,0.17221721276879232,16
target_active_gds_specialist (K=16),risk_coverage,0.04172259507829978,0.18424918077495045,16
target_active_gds_specialist (K=16),risk_coverage,0.08344519015659956,0.18727182900794348,16
